Series,Issue,"Full Title","Variant Description",Publisher,"Release Date",Format,"Added Date",Creators
"Action Comics, Vol. 3",982A,"Revenge, Part IV","Regular Patrick Zircher Cover","DC Comics","Jun 28, 2017",Comic,"Nov 05, 2017","Dan Jurgens | Jack Herbert | José Luis"
"Action Comics, Vol. 3",982A,"Revenge, Part IV","Regular Patrick Zircher Cover","DC Comics","Jun 28, 2017",Comic,"Nov 05, 2017","Dan Jurgens | Jack Herbert | José Luis"
"Action Comics, Vol. 3",983A,"Revenge, Part V","Clay Mann Regular Cover","DC Comics","Jul 12, 2017",Comic,"Nov 05, 2017","Dan Jurgens | Viktor Bogdanović | Jonathan Glapion"
"Action Comics, Vol. 3",983A,"Revenge, Part V","Clay Mann Regular Cover","DC Comics","Jul 12, 2017",Comic,"Nov 05, 2017","Dan Jurgens | Viktor Bogdanović | Jonathan Glapion"
"Action Comics, Vol. 3",984A,"Revenge, Conclusion","Clay Mann Regular Cover","DC Comics","Jul 26, 2017",Comic,"Nov 05, 2017","Dan Jurgens | Patrick Zircher"
"Action Comics, Vol. 3",984A,"Revenge, Conclusion","Clay Mann Regular Cover","DC Comics","Jul 26, 2017",Comic,"Nov 05, 2017","Dan Jurgens | Patrick Zircher"
"Action Comics, Vol. 3",985A,"Only Human, Part 1","Regular Guillem March Cover","DC Comics","Aug 09, 2017",Comic,"Jan 05, 2018","Rob Williams | Guillem March"
"Action Comics, Vol. 3",986A,"Only Human, Part 2","Regular Guillem March Cover","DC Comics","Aug 23, 2017",Comic,"Jan 05, 2018","Rob Williams | Guillem March"
"Action Comics, Vol. 3",987A,"The Oz Effect, Part One","Regular Nick Bradshaw Lenticular Cover","DC Comics","Sep 13, 2017",Comic,"Jan 05, 2018","Dan Jurgens | Viktor Bogdanović | Jonathan Glapion"
"Action Comics, Vol. 3",988A,"The Oz Effect, Part Two","Regular Robson Rocha Lenticular Cover","DC Comics","Sep 27, 2017",Comic,"Jan 05, 2018","Dan Jurgens | Ryan Sook"
"Action Comics, Vol. 3",989A,"The Oz Effect, The Oz Effect Part Three","Regular Nick Bradshaw Lenticular Cover","DC Comics","Oct 11, 2017",Comic,"Nov 05, 2017","Dan Jurgens | Viktor Bogdanović | Trevor Scott"
"Action Comics, Vol. 3",990A,"The Oz Effect, The Oz Effect Part 4","Regular Nick Bradshaw Lenticular Cover","DC Comics","Oct 25, 2017",Comic,"Jan 05, 2018","Dan Jurgens | Viktor Bogdanović | Scott Hanna"
"Action Comics, Vol. 3",991A,"The Oz Effect, Conclusion","Regular Nick Bradshaw Lenticular Cover","DC Comics","Nov 08, 2017",Comic,"Jan 05, 2018","Dan Jurgens | Viktor Bogdanović | Scott Hanna"
"Action Comics, Vol. 3",992A,"The Oz Effect, After Effects","Regular Francis Manapul Cover","DC Comics","Nov 22, 2017",Comic,"Jan 05, 2018","Will Conrad"
"Action Comics, Vol. 3",993A,"Booster Shot, Part One","Regular Dan Jurgens & Trevor Scott Cover","DC Comics","Dec 13, 2017",Comic,"Jan 05, 2018","Dan Jurgens | Joe Prado | Cam Smith"
"Action Comics, Vol. 3",994A,"Booster Shot, Part II","Regular Dan Jurgens & Trevor Scott Cover","DC Comics","Dec 27, 2017",Comic,"Jan 26, 2018","Dan Jurgens | Joe Prado | Trevor Scott"
"Action Comics, Vol. 3",995A,"Booster Shot","Regular Dan Jurgens & Trevor Scott Cover","DC Comics","Jan 10, 2018",Comic,"Jan 26, 2018","Dan Jurgens | Brett Booth | Norm Rapmund"
"Action Comics, Vol. 3",996A,"Booster Shot, Part IV","Regular Dan Jurgens & Trevor Scott Cover","DC Comics","Jan 24, 2018",Comic,"Feb 20, 2018","Dan Jurgens | Will Conrad"
"Action Comics, Vol. 3",997A,"Booster Shot","Regular Brett Booth & Norm Rapmund Cover","DC Comics","Feb 14, 2018",Comic,"Feb 20, 2018","Dan Jurgens | Brett Booth | Norm Rapmund"
"Action Comics, Vol. 3",998A,"Booster Shot, Booster Shot Conclusion","Regular Will Conrad Cover","DC Comics","Feb 28, 2018",Comic,"Mar 12, 2018","Dan Jurgens | Will Conrad"
"Action Comics, Vol. 3",999A,"What Would Superman Do?","Regular Brett Booth & Norm Rapmund Cover","DC Comics","Mar 14, 2018",Comic,"May 05, 2018","Dan Jurgens | Will Conrad"
"Action Comics, Vol. 3",1000A,"From The City That Has Everything / Never-Ending Battle / The Enemy Within / The Car / The Fifth Season / Of Tomorrow / Five MIntues / Actionland! / Faster Than A Speeding Bullet / The Truth","Regular Jim Lee & Scott Williams Cover","DC Comics","Apr 18, 2018",Comic,"May 05, 2018","Paul Dini | Marv Wolfman | Dan Jurgens"
"Action Comics, Vol. 3",1001A,"Invisible Mafia","Regular Patrick Gleason Cover","DC Comics","Jul 25, 2018",Comic,"Aug 03, 2018","Brian Michael Bendis | Patrick Gleason"
"Action Comics, Vol. 3",1002A,"Invisible Mafia, Part 2","Regular Patrick Gleason Cover","DC Comics","Aug 22, 2018",Comic,"Jan 19, 2019","Brian Michael Bendis | Patrick Gleason"
"Action Comics, Vol. 3",1003A,"Invisible Mafia, Part 3","Regular Patrick Gleason Cover","DC Comics","Sep 26, 2018",Comic,"Jan 19, 2019","Brian Michael Bendis | Yanick Paquette"
"Action Comics, Vol. 3",1004A,"Invisible Mafia, Part 4","Regular Steve Rude Enhanced Foil Cover","DC Comics","Oct 24, 2018",Comic,"Jan 19, 2019","Brian Michael Bendis | Ryan Sook | Wade von Grawbadger"
"Action Comics, Vol. 3",1005A,"Invisible Mafia, Part 5","Regular Ryan Sook Cover","DC Comics","Nov 28, 2018",Comic,"Jan 19, 2019","Brian Michael Bendis | Ryan Sook"
"Action Comics, Vol. 3",1006A,"Invisible Mafia, Part 6","Regular Ryan Sook Cover","DC Comics","Jan 02, 2019",Comic,"Jan 19, 2019","Brian Michael Bendis | Ryan Sook"
"Action Comics, Vol. 3",1007A,"Leviathan Rising, Part 1","Regular Steve Epting Cover","DC Comics","Jan 30, 2019",Comic,"May 04, 2019","Brian Michael Bendis | Steve Epting"
"Action Comics, Vol. 3",1008A,"Leviathan Rising, Part 2","Regular Steve Epting Cover","DC Comics","Feb 27, 2019",Comic,"May 04, 2019","Brian Michael Bendis | Steve Epting"
"Action Comics, Vol. 3",1009A,"Leviathan Rising, Leviathan Rising Part 3","Regular Steve Epting Cover","DC Comics","Mar 27, 2019",Comic,"May 04, 2019","Brian Michael Bendis | Steve Epting"
"Action Comics, Vol. 3",1010A,"Leviathan Rises, Part 4","Regular Steve Epting Cover","DC Comics","Apr 24, 2019",Comic,"May 11, 2019","Brian Michael Bendis | Steve Epting"
"Action Comics, Vol. 3",1011A,"Leviathan Rises, Leviathan Rises Part 5","Regular Steve Epting Cover","DC Comics","May 22, 2019",Comic,"Jun 10, 2019","Brian Michael Bendis | Steve Epting"
"Action Comics, Vol. 3",1012A,"By Any Other Name...","Regular Jamal Campbell Cover","DC Comics","Jun 26, 2019",Comic,"Jun 27, 2019","Brian Michael Bendis | Szymon Kudranski"
"Action Comics, Vol. 3",1013A,"Year of the Villain - Gifts","Regular Jamal Campbell Cover","DC Comics","Jul 24, 2019",Comic,"Jul 27, 2019","Brian Michael Bendis | Szymon Kudranski"
"Action Comics, Vol. 3",1014A,"Year of the Villain ","Regular Brandon Peterson Cover","DC Comics","Aug 28, 2019",Comic,"Sep 20, 2019","Brian Michael Bendis | Szymon Kudranski"
"Action Comics, Vol. 3",1015A,"Year of the Villain - New Voices","Regular David Marquez Cover","DC Comics","Sep 25, 2019",Comic,"Oct 17, 2019","Brian Michael Bendis | Szymon Kudranski"
"Action Comics, Vol. 3",1016A,"Year of the Villain - Coming Of Age","Regular Jamal Campbell Cover","DC Comics","Oct 23, 2019",Comic,"Nov 05, 2019","Brian Michael Bendis | Szymon Kudranski"
"Action Comics, Vol. 3",1017A,"Year of the Villain - Metropolis Doom!","Regular John Romita Jr & Klaus Janson Acetate Cover","DC Comics","Nov 27, 2019",Comic,"Dec 06, 2019","Brian Michael Bendis | John S. Romita, Jr. | Klaus Janson"
"Action Comics, Vol. 3",1018A,"Metropolis Doom!, Part 2","Regular John Romita Jr & Klaus Janson Cover","DC Comics","Jan 01, 2020",Comic,"Feb 23, 2020","Brian Michael Bendis | John S. Romita, Jr. | Klaus Janson"
"Action Comics, Vol. 3",1019A,"Metropolis Doom!, Metropolis Doom Part 3","Regular John Romita Jr & Klaus Janson Cover","DC Comics","Jan 29, 2020",Comic,"Feb 23, 2020","Brian Michael Bendis | John S. Romita, Jr. | Klaus Janson"
"Action Comics, Vol. 3",1020A,"Metropolis Doom!, Part 4","Regular John Romita Jr & Klaus Janson Cover","DC Comics","Feb 26, 2020",Comic,"Jun 19, 2020","Brian Michael Bendis | John S. Romita, Jr. | Klaus Janson"
"Action Comics, Vol. 3",1021A,"Metropolis Doom!, Conclusion","Regular John Romita Jr & Klaus Janson Cover","DC Comics","Mar 25, 2020",Comic,"Jun 19, 2020","Brian Michael Bendis | John S. Romita, Jr. | Klaus Janson"
"Action Comics, Vol. 3",1022A,"The House of Kent, Part 1","Regular John Romita Jr & Klaus Janson Cover","DC Comics","Jun 03, 2020",Comic,"Aug 08, 2020","Brian Michael Bendis | John S. Romita, Jr. | Danny K. Miki"
"Action Comics, Vol. 3",1023A,"The House of Kent, The House of Kent Part Two","John Romita Jr cover","DC Comics","Jul 21, 2020",Comic,"Aug 09, 2020","Brian Michael Bendis | John S. Romita, Jr. | Klaus Janson"
"Action Comics, Vol. 3",1024A,"The House of Kent, Part Three","Regular John Romita Jr & Klaus Janson Cover","DC Comics","Aug 25, 2020",Comic,"Dec 04, 2020","Brian Michael Bendis | John S. Romita, Jr. | Klaus Janson"
"Action Comics, Vol. 3",1025A,"The House of Kent, Part 4","Regular John Romita Jr & Klaus Janson Cover","DC Comics","Sep 22, 2020",Comic,"Dec 04, 2020","Brian Michael Bendis | John S. Romita, Jr. | Klaus Janson"
"Action Comics, Vol. 3",1026A,"The House of Kent, The House of Kent Part Five","Regular John Romita Jr & Klaus Janson Cover","DC Comics","Oct 27, 2020",Comic,"Dec 03, 2020","Brian Michael Bendis | John S. Romita, Jr. | Klaus Janson"
"Action Comics, Vol. 3",1027A,"The House of Kent, Epilogue","Regular John Romita Jr Cover","DC Comics","Nov 24, 2020",Comic,"Dec 04, 2020","Brian Michael Bendis | John S. Romita, Jr. | Klaus Janson"
"Action Comics, Vol. 3",1028A,"The House of Kent, Chapter 7: Micro Hopes","Cvr A John Romita Jr & Klaus Janson","DC Comics","Dec 22, 2020",Comic,"Jan 01, 2021","Brian Michael Bendis | John Romita Jr. | Klaus Janson"
"Action Comics, Vol. 3",1029A,"The Golden Age, The Golden Age Part Two / The Passenger Part One","Phil Hester Cover","DC Comics","Mar 23, 2021",Comic,"Jun 02, 2021","Becky Cloonan | Phillip Kennedy Johnson | Michael W. Conrad"
"Action Comics, Vol. 3",1030B,,"Variant Julian Totino Tedesco Card Stock Cover","DC Comics","Apr 27, 2021",Comic,"Jun 14, 2021","Becky Cloonan | Phillip Kennedy Johnson | Michael Conrad"
"Action Comics, Vol. 3",1031A,"Warworld Rising, Part Two / The Passenger, Part Three","Mikel Janin Regular Cover","DC Comics","May 25, 2021",Comic,"Jun 14, 2021","Becky Cloonan | Phillip Kennedy Johnson | Michael W. Conrad"
"Action Comics, Vol. 3",1032A,"Warworld Rising, Part Three","Regular Mikel Janin Cover","DC Comics","Jun 22, 2021",Comic,"Jun 26, 2021","Becky Cloonan | Phillip Kennedy Johnson | Michael W. Conrad"
"Action Comics, Vol. 3",1033A,"Warworld Rising, Part Four","Daniel Sempere Regular Cover","DC Comics","Jul 27, 2021",Comic,"Aug 01, 2021","Phillip Kennedy Johnson | Michael W. Conrad | Rebecca Cloonan"
"Action Comics, Vol. 3",1034A,"Warworld Rising, Part Five / The Passenger, Part 6","Daniel Sempere Regular Cover","DC Comics","Aug 24, 2021",Comic,"Sep 17, 2021","Phillip Kennedy Johnson | Michael W. Conrad | Rebecca Cloonan"
"Action Comics, Vol. 3",1035A,,"Regular Daniel Sampere Cover","DC Comics","Sep 28, 2021",Comic,"Oct 01, 2021","Sean Lewis | Phillip Kennedy Johnson | Sami Basri"
"Action Comics, Vol. 3",1036A,"Warworld Saga, Part 1; Tales of Metropolis","Daniel Sempere Regular Cover","DC Comics","Oct 26, 2021",Comic,"Nov 12, 2021","Sean Lewis | Phillip Kennedy Johnson | Sami Basri"
"Action Comics: Futures End",1A,"Futures End, Crossroads","3-D Edition","DC Comics","Sep 03, 2014",Comic,"Oct 04, 2014","Sholly Fisch | Pascal Alixe | Vicente Cifuentes"
"Action Comics: Special",1,,,"DC Comics","May 02, 2018",Comic,"May 05, 2018","Dan Jurgens | Max Landis | Daniel Jurgens"
"Advanced Dungeons & Dragons",3,"The Secret Of Selune's Eye",,"DC Comics","Dec 1988",Comic,"Feb 23, 2014","Jan Duursema | Michael Fleisher"
"Advanced Dungeons & Dragons",4,"Sorcerer's Moon",,"DC Comics","Jan 1989",Comic,"Feb 23, 2014","Jan Duursema | Michael J. Fleisher"
"Advanced Dungeons & Dragons",5,"The Spirit of Myrrth, The Spirit Of Myrrth",,"DC Comics","Feb 1989",Comic,"Feb 23, 2014","Dan Mishkin | Jan Duursema"
"Advanced Dungeons & Dragons",6,"The Spirit of Myrrth, Beneath The City Of The Dead",,"DC Comics","Mar 1989",Comic,"Feb 23, 2014","Dan Mishkin | Jan Duursema | Kim DeMulder"
"Advanced Dungeons & Dragons",7,"The Spirit of Myrrth, Showtime! Or Revenge Of The Living Monologue",,"DC Comics","Apr 1989",Comic,"Feb 23, 2014","Dan Mishkin | Jan Duursema | John Statema"
"The Adventures of Cyclops and Phoenix",1,"""Wish You Were Here!""",,"Marvel Comics","May 1994",Comic,"Feb 23, 2014","Scott Lobdell | Gene Ha | Al Vey"
"The Adventures of Cyclops and Phoenix",2,"""Tenure""",,"Marvel Comics","Jun 01, 1994",Comic,"Feb 23, 2014","Scott Lobdell | Gene Ha | Al Vey"
"The Adventures of Cyclops and Phoenix",3,"""Through The Years""",,"Marvel Comics","Jul 01, 1994",Comic,"Feb 23, 2014","Scott Lobdell | Gene Ha | Mark Pennington"
"The Adventures of Cyclops and Phoenix",4,"""Sacrifice""",,"Marvel Comics","Aug 01, 1994",Comic,"Feb 23, 2014","Scott Lobdell | Gene Ha | Bill Anderson"
"The Adventures of Superman",0,"Peer Pressure - Part 3: ...With Powers Beyond Those Of Mortal Men",,"DC Comics","Aug 30, 1994",Comic,"Feb 23, 2014","Karl Kesel | Barry Kitson | Ray McCarthy"
"The Adventures of Superman",440,"The Hurrieder I Go",,"DC Comics","May 1988",Comic,"Feb 23, 2014","Jerry Ordway | John Byrne | Dennis Janke"
"The Adventures of Superman",500B,"Funeral For a Friend - Life After Death","Collector's Edition","DC Comics","Apr 13, 1993",Comic,"Feb 23, 2014","Jerry Ordway | Roger Stern | Louise Simonson"
"The Adventures of Superman",500D,"Funeral For a Friend - Life After Death",Polybagged,"DC Comics","Jun 1993",Comic,"Feb 23, 2014","Jerry Ordway | Tom Grummett | Doug Hazlewood"
"The Adventures of Superman",501B,"Reign of the Supermen - The Adventures Of Superman... When He Was A Boy!","Die-Cut Cover","DC Comics","Apr 27, 1993",Comic,"Feb 23, 2014","Jerry Ordway | Karl Kesel | Tom Grummett"
"The Adventures of Superman",506,Payback!,,"DC Comics","Sep 28, 1993",Comic,"Feb 23, 2014","Karl Kesel | Tom Grummett | Doug Hazlewood"
"The Adventures of Superman",514,"Fall of Metropolis - Fall Of Metropolis, Dangerous Visions",,"DC Comics","May 31, 1994",Comic,"Feb 23, 2014","Karl Kesel | Pete Krause | Ron McCain Jr."
"The Adventures of Superman",515,"Massacre In Metropolis - Deadly Measures",,"DC Comics","Jun 28, 1994",Comic,"Feb 23, 2014","Karl Kesel | Barry Kitson | Ray McCarthy"
"The Adventures of Superman",516,"Zero Hour - The Hero Of Metropolis",,"DC Comics","Jul 26, 1994",Comic,"Feb 23, 2014","Karl Kesel | Pete Krause | Jackson Guice"
"The Adventures of Superman",517,Death-Trap!,,"DC Comics","Sep 27, 1994",Comic,"Feb 23, 2014","Karl Kesel | Barry Kitson | Ray McCarthy"
"The Adventures of Superman",518,"The Armagetto Run!",,"DC Comics","Dec 1994",Comic,"Feb 23, 2014","Karl Kesel | Barry Kitson | Steve Montano"
"The Adventures of Superman",519,"No One Defeats Brainiac!",,"DC Comics","Nov 29, 1994",Comic,"Feb 23, 2014","Karl Kesel | Barry Kitson | Mike Manley"
"The Adventures of Superman",521,"Cold As Ice",,"DC Comics","Jan 31, 1995",Comic,"Feb 23, 2014","Karl Kesel | Stuart Immonen | José Marzán, Jr."
"The Adventures of Superman",522,"City Of Hope",,"DC Comics","Feb 28, 1995",Comic,"Feb 23, 2014","Karl Kesel | Stuart Immonen | José Marzán, Jr."
"The Adventures of Superman",523,"The Hit",,"DC Comics","Mar 28, 1995",Comic,"Feb 23, 2014","Karl Kesel | Stuart Immonen | José Marzán, Jr."
"The Adventures of Superman",524,"Where Is Superman?",,"DC Comics","Apr 25, 1995",Comic,"Feb 23, 2014","Karl Kesel | Stuart Immonen | José Marzán, Jr."
"The Adventures of Superman",526,"Title Bout!",,"DC Comics","Jun 27, 1995",Comic,"Feb 23, 2014","Karl Kesel | Rodolfo DaMaggio | Klaus Janson"
"The Adventures of Superman",527,"The Return",,"DC Comics","Jul 25, 1995",Comic,"Feb 23, 2014","Karl Kesel | Stuart Immonen | José Marzán, Jr."
"The Adventures of Superman",528,"Deadly Silence",,"DC Comics","Aug 22, 1995",Comic,"Feb 23, 2014","Karl Kesel | Stuart Immonen | José Marzán, Jr."
"Adventures of Superman, Vol. 2",15,,,"DC Comics","Jul 30, 2014",Comic,"Sep 01, 2014","Ron Marz | Evan 'Doc' Shaner | Eric Gapstur"
"Adventures Of The Super Sons",1A,"Action Detectives, Part One: Bad Guise","Regular Dan Mora Cover","DC Comics","Aug 01, 2018",Comic,"Jan 19, 2019","Peter J. Tomasi | Carlo Barberi | Art Thibert"
"Adventures Of The Super Sons",2,"Action Detectives, Part 2",,"DC Comics","Sep 05, 2018",Comic,"Jan 19, 2019","Peter J. Tomasi | Carlo Barberi | Arthur Edward Thibert"
"Adventures Of The Super Sons",3,"Action Detectives, Part Three",,"DC Comics","Oct 03, 2018",Comic,"Jan 19, 2019","Peter J. Tomasi | Carlo Barberi | Arthur Edward Thibert"
"Adventures Of The Super Sons",4,"Lost Boys",,"DC Comics","Nov 07, 2018",Comic,"Jul 11, 2019","Peter J. Tomasi | Carlo Barberi | Matt Santorelli"
"Adventures Of The Super Sons",5,"Deus Ex Machina",,"DC Comics","Dec 05, 2018",Comic,"Jul 11, 2019","Peter J. Tomasi | Carlo Barberi | Matt Santorelli"
"Adventures Of The Super Sons",6,"Tomorrow Sometimes Dies",,"DC Comics","Jan 09, 2019",Comic,"Jul 11, 2019","Peter J. Tomasi | Scott Godlewski"
"Adventures Of The Super Sons",7,"Noir Town",,"DC Comics","Feb 06, 2019",Comic,"Jul 11, 2019","Peter J. Tomasi | Carlo Barberi | Matt Santorelli"
"Adventures Of The Super Sons",8,"Jailhouse Rocked",,"DC Comics","Mar 06, 2019",Comic,"Jul 11, 2019","Peter J. Tomasi | Carlo Barberi | Matt Santorelli"
"Adventures Of The Super Sons",9,"The Good, the Bad, And the Sons",,"DC Comics","Apr 03, 2019",Comic,"Jul 11, 2019","Peter J. Tomasi | Scott Godlewski"
"Adventures Of The Super Sons",10,"Gang War",,"DC Comics","May 01, 2019",Comic,"Jul 11, 2019","Peter J. Tomasi | Carlo Barberi | Matt Santorelli"
"Adventures Of The Super Sons",11,"Part 2",,"DC Comics","Jun 05, 2019",Comic,"Jul 11, 2019","Peter J. Tomasi | Carlo Barberi | Matt Santorelli"
"Adventures Of The Super Sons",12,"Gang War Conclusion",,"DC Comics","Jul 03, 2019",Comic,"Jul 11, 2019","Peter J. Tomasi | Carlo Barberi | Matt Santorelli"
"The Adventures of the Thing",3,"Full House---Dragons High!",,"Marvel Comics","Jun 1992",Comic,"Feb 23, 2014","Peter B. Gillis | Frank Miller | Bob McLeod"
"Afterlife With Archie",1F,"Escape From Riverdale","2nd Printing","Archie Comic Publications","May 07, 2014",Comic,"Apr 10, 2014","Roberto Aguirre-Sacasa | Francesco Francavilla"
"Afterlife With Archie",2A,"Escape From Riverdale, Chapter Two: Dance of the Dead","Francesco Francavilla Regular Cover","Archie Comic Publications","Nov 20, 2013",Comic,"May 03, 2014","Gray Morrow | Roberto Aguirre-Sacasa | Francesco Francavilla"
"Afterlife With Archie",6B,"Betty R.I.P., Chapter One: Witch in the Dream House","Andrew Pepoy Variant Cover","Archie Comic Publications","Jul 23, 2014",Comic,"Dec 13, 2015","Roberto Aguirre-Sacasa | Francesco Francavilla"
"Afterlife With Archie",7B,"Betty R.I.P., Chapter Two: Dear Diary","Andrew Pepoy Variant Cover","Archie Comic Publications","Dec 10, 2014",Comic,"Dec 13, 2015","Roberto Aguirre-Sacasa | Marvin Channing | Doug Wildey"
"Afterlife With Archie",8A,"Betty: R.I.P., Chapter Three: A Ghost Story...","Francesco Francavilla Regular Cover","Archie Comic Publications","May 06, 2015",Comic,"Dec 13, 2015","Roberto Aguirre-Sacasa | Marv Channing | Phil Seuling"
"Age of Apocalypse, Vol. 2",1A,"Secret Wars - Sticks and Stones...","Gerardo Sandoval Regular Cover","Marvel Comics","Jul 08, 2015",Comic,"Oct 03, 2015","Fabian Nicieza | Gerardo Sandoval"
"Age of Apocalypse, Vol. 2",2A,"Secret Wars - Mutually Assured Destruction","Gerardo Sandoval Regular Cover","Marvel Comics","Aug 05, 2015",Comic,"Oct 03, 2015","Fabian Nicieza | Gerardo Sandoval"
"Age of Apocalypse, Vol. 2",3A,"Secret Wars ",,"Marvel Comics","Sep 02, 2015",Comic,"Oct 03, 2015","Fabian Nicieza | Gerardo Sandoval"
"Age of Apocalypse, Vol. 2",4A,"Secret Wars - Legacies",,"Marvel Comics","Sep 16, 2015",Comic,"Oct 03, 2015","Fabian Nicieza | Iban Coello"
"Age of Apocalypse, Vol. 2",5A,"Secret Wars ","Gerardo Sandoval Regular Cover","Marvel Comics","Oct 21, 2015",Comic,"Nov 20, 2015","Fabian Nicieza | Iban Coello"
"The Age of Apocalypse: The Chosen",1,"Age of Apocalypse - The Chosen",,"Marvel Comics","Apr 1995",Comic,"Feb 23, 2014","Tim Sale | Steve Skroce | Ian Churchill"
"Age of Conan: Bêlit, Queen Of The Black Coast",1A,"The Lost Verses","Regular Sana Takeda Cover","Marvel Comics","Mar 13, 2019",Comic,"Dec 22, 2019","Tini Howard | Kate Niemczyk"
"Age of Conan: Bêlit, Queen Of The Black Coast",2A,"The Mad Quest","Regular Sana Takeda Cover","Marvel Comics","Apr 10, 2019",Comic,"Dec 22, 2019","Tini Howard | Kate Niemczyk"
"Age of Conan: Bêlit, Queen Of The Black Coast",3A,"The Lesson","Sana Takeda Cover","Marvel Comics","May 08, 2019",Comic,"Dec 22, 2019","Tini Howard | Kate Niemczyk | Scott Hanna"
"Age of Conan: Bêlit, Queen Of The Black Coast",4A,"The Oath","Regular Sana Takeda Cover","Marvel Comics","Jun 12, 2019",Comic,"Dec 22, 2019","Tini Howard | Kate Niemczyk | Scott Hanna"
"Age of Conan: Bêlit, Queen Of The Black Coast",5A,"All Hail the Queen","Regular Sana Takeda Cover","Marvel Comics","Jul 24, 2019",Comic,"Dec 22, 2019","Tini Howard | Kate Niemczyk | Scott Hanna"
"Age of Conan: Valeria",1A,"Part One: Child Of War","Regular Jay Anacleto Cover","Marvel Comics","Aug 14, 2019",Comic,"Feb 23, 2020","Meredith Finch | Aneke"
